Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,UK Independence Party (UKIP),PP 85,403630,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,Labour Party,PP 53,380189,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,Conservative Party ,PP 52,248945,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,Green Party,PP 63,102282,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,Liberal Democrats,PP 90,81108,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,An Independence From Europe,PP 1918,24297,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,British National Party,PP 106,20138,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,Yorkshire First,PP 2120,19017,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,English Democrats,PP 17,13288,0
2014-05-26,Yorkshire and The Humber,E15000003,http://statistics.data.gov.uk/doc/statistical-geography/E15000003,NO2EU,PP 2164,3807,0
