Poll Date,Area,Area Code,Area URL,Party,Party ID,Votes,Ballots Rejected
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,Labour Party,PP 53,594063,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,UK Independence Party (UKIP),PP 85,481932,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,Conservative Party,PP 52,351985,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,Green Party,PP 63,123075,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,Liberal Democrats,PP 90,105487,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,British National Party,PP 105,32826,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,An Independence From Europe,PP 1918,26731,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,English Democrats,PP 17,19522,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,Pirate Party UK,PP 770,8597,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,NO2EU,PP 2164,5402,0
2014-05-26,North West,E15000002,http://statistics.data.gov.uk/doc/statistical-geography/E15000002,Socialist Equality Party,PP 633,5067,0
